,BNF,Drug Examples," 
Route 
 ","
Risks/ Cautions/Contraindications 
",Recommendations," 
Notes 
 "
,Antimuscarinic drugs used in parkinsonism,Procyclidine Orphenadrine,Oral,Risk of symptoms of drug induced Parkinsonism returning if stopped.,Continue,"Reminder – patients may also be on Depot antipsychotics. Please check before discontinuing these drugs. 
Avoid antimuscarinic drugs in bowel obstruction and post operative urinary retention.1"
,Drugs used in alcohol dependence,Acamprosate Disulfiram," 
Oral 
 ",Disulfiram may prolong effect of benzodiazepines and opiates.1,Continue," 
Do not use oral medicines containing alcohol. E.g. ranitidine liquid 
Oral morphine liquid 
 "
,Nicotine dependence,Bupropion Varenicline,Oral / topical,"No specific issues 
Discontinuation of NRT may cause nicotine withdrawal.",Continue,
,Opioid dependence,Methadone Buprenorphine Naltrexone,"Oral 
 ","Continue methadone; also give 
adequate analgesia post operatively. 34 
Methadone patients may need increased anaesthetic doses. 
Naloxone may cause opiate withdrawal symptoms. 4 
Naltrexone is an opiate antagonist; concomitant administration with opiates is not advisable due to increased likelihood of life- threatening opiate toxicity. 35 36","Continue methadone and buprenorphine 4 
Ensure dose given on morning of surgery 
Opioid analgesia required for patients on naltrexone, larger doses than usual may be required and the patients must be closely monitored for signs of opiate toxicity. 35 
Consider using paracetamol and NSAIDs as first line therapy.", 
,Drugs for dementia,Donepezil Rivastigmine Galantamine,Oral / Patch,"May prolong effects of neuromuscular blocking drugs such as suxamethonium. 
Not contra-indicated with anaesthetics, but stopping before 
surgery is advisable 4 41 42 44 45 46 47 49 50","Consider discontinuation if prolonged neuromuscular block is likely to present a problem, otherwise continue. 
Rivastigmine - Miss the last dose on the day before and the dose on the morning of surgery 48 
Withdraw donepezil 2-3 weeks prior to 
planned surgery due to long half life 
(although in emergency surgery 
anaesthetist should be aware of risk of 
prolonged neuromuscular blockade) 41 42 49 
Consider discontinuing galantamine 1-2 days prior to surgery, enzyme inhibition vanished 24 hours after withdrawal of galantamine. 41 43 50 
If galantamine treatment is substantially interrupted, consider re-titrating dose50","If rivastigmine is 
interrupted for more than 
several days, it should be 
re-initiated at 1.5 mg twice 
daily and titrated up. . 44 
Galantamine not recommended for patients recovering from bladder or bowel surgery or with GI obstruction. 50"
,Antibacterial drugs,"Rifampicin 
Linezolid 
Erythromycin 
Isoniazid",Oral,"Rifampicin reduces plasma concentration of midazolam. 51 
Orally administered midazolam is ineffective during rifampicin treatment. 51 
Linezolid is a weak monoamine oxidase inhibitor similar to the MAOI antidepressants.52 
Erythromycin reduced clearance of intravenously administered midazolam by 54% 53 
Hepatic enzyme inducing drugs may increase the metabolism of isoflurane. 
Administration of isoniazid in human patients may increase the metabolism of enflurane and increase serum fluoride ion concentrations to levels that may transiently impair renal function 54","May require increased doses of midazolam or use alternative benzodiazepine for patients on rifampicin. 
Use MAOI safe anaesthetic technique for patients taking Linezolid. 
Prescription of midazolam for patients receiving erythromycin should be avoided or the dose of midazolam should be reduced by 50% to 75%. 53 
Continue isoniazid with caution.",
,5.2 Antifungal drugs,"
Fluconazole Itraconazole 
",Oral,No known issues,Continue,
,5.3 Antiviral drugs,Aciclovir Ganciclovir Valganciclovir,Oral/iV,"Midazolam interacts with protease inhibitors - increased respiratory depression 2 
Potential adverse effects of drug withdrawal include drug resistance 7 and worsening of condition","Protease inhibitors interact with midazolam (do not use), 
continue HIV treatment 2 7",
,6.1.1 .1 Insulins (Short acting),Actrapid® Novorapid® Humalog®,SC,"Stress response to surgery involves a rise in blood sugar levels. In a type 1 diabetic patient these effects can lead to severe hyperglycaemia, ketoacidosis, electrolyte disturbances and protein catabolism. 
Hypoglycaemia occurs if given when patient fasted.","For procedures with no more than one missed meal (morning surgery) 
Basal bolus regimens: Omit the morning and lunchtime short acting insulin’s. Keep the basal unchanged. 55 
Premixed am insulin: Halve the morning dose and omit lunchtime dose For procedures with more than one missed meal55 
For procedures with no more than one missed meal (Afternoon surgery) 
Take usual morning insulin dose(s). Omit lunchtime dose. Check blood glucose on admission.55 
For procedures with more than one missed meal 
Consider variable rate insulin infusion. Check blood glucose on admission. 55","Short procedures should be scheduled early in the morning and the usual diabetes treatment delayed until food is ingested.55 
Generally a reduced dose of insulin the night before and omission of insulin or reduced dose morning of surgery. 55"
,6.1.1 .2 Insulins (Twice daily dosing),Novomix® Mixtard,"SC 
 ","Stress response to surgery involves a rise in blood sugar levels. In a type 1 diabetic patient these effects can lead to severe hyperglycaemia, ketoacidosis, electrolyte disturbances, and protein catabolism. 
Hypoglycaemia if given when patient fasted.","For procedures with no more than one missed meal 
Give half the dose of insulin on morning of surgery. Check blood glucose on admission. (both for AM and PM surgery) 55 
For procedures with more than one missed meal 
Consider variable rate insulin infusion. Give half dose of insulin on morning of surgery. Check blood glucose on admission",In patients on regimen of short and intermediate acting insulin (premixed such as mixtard 30) continue until morning of surgery (and give intermediate acting night before) 55
,6.1.1.2 Insulins (Long Acting),Lantus Levemir Insulatard,SC,"Stress response to surgery involves a rise in blood sugar levels. In a type 1 diabetic patient these effects can lead to severe hyperglycaemia, ketoacidosis, electrolyte disturbances, and protein catabolism.","Therapies providing basal insulin can be continued with careful management. 
Long acting insulins may be replaced by intermediate acting insulins 57 
For procedures with no more than one missed meal 
Continue as usual, check blood glucose on admission 
For procedures with more than one missed meal 
Give basal insulin as usual, consider variable rate insulin infusion. 2 55","Short procedures should be scheduled early in the morning and the usual diabetes treatment delayed until food is ingested.55 
Generally a reduced dose of insulin the night before and omission of insulin or reduced dose morning of surgery. 55"
,6.1.2.1 Sulfonylureas,Gliclazide Glipizide Glimepiride Glibenclamide,Oral,"Discontinue before surgery. 
Sulphonylureas may interfere with ischaemic conditioning and increase risk of myocardial injury perioperatively. 56 
They can precipitate perioperative hypoglycaemia. 56 If long acting sulphonylureas are not stopped, consider glucose supplementation perioperatively. 2 56","For procedures with no more than one missed meal 
AM Surgery: Omit morning dose.55 
For procedures with more than one missed meal 
AM Surgery: Omit any morning doses, continue evening doses if eating. 55 
PM Surgery: Omit morning and evening doses. 55 
Consider a temporary switch to insulin 56 
Glibenclamide is long acting. Consider a switch to a shorter acting sulphonylureas prior to surgery, and then omit the morning dose.",
,6.1.2.2 Biguanides,Metformin,Oral,"Increased risk of lactic acidosis if renal function decreases. Consider with holding from 48 hours prior to surgery. 2","For procedures with no more than one missed meal 
AM Surgery: Take as normal (omit for procedures involving contrast 
media) 55 
For procedures with more than one missed meal 
IS Surgery: ** Take morning and evening doses as usual, omit lunchtime dose. 55 
PM Surgery: Take morning and evening doses as usual, omit lunchtime dose. 55","Metformin should be restarted when eGFR >50.55 
For procedures involving contrast media, metformin should be withheld for 48 hours if patient’s eGFR >50. 55 
** Current practice in ARI is to omit morning dose"
,6.1.2.3 Other diabetic drugs,Acarbose," 
Oral","
Risk of hypoglycaemia.","For procedures with no more than one missed meal 
AM Surgery: Omit morning dose if NBM55 
For procedures with more than one missed meal 
AM Surgery: Omit morning dose (if fasted) 55 
PM Surgery: Take morning dose if 
eating breakfast, omit lunchtime dose. 55", 
,Insulin secretagogues,Nateglinide repaglinide,Oral,May precipitate perioperative hypoglycaemia,"Discontinue before surgery. 
Discontinue short acting secretagogues evening before or morning of surgery. 2 
If longer acting secretagogues are discontinued for extended periods, patient may need insulin. 2 
For procedures with no more than one missed meal 
AM Surgery: Omit morning dose if nil by mouth55 
For procedures with more than one missed meal 
AM Surgery: Omit morning dose (if fasted) 55 
PM Surgery: Take morning dose if 
eating breakfast, omit lunchtime dose. 55",
,"Thiazolidinediones 
","
Pioglitazone",Oral,"Prolonged duration of action, little risk of precipitating hypoglycaemia. 
Discontinuation a short period of time prior to operation may have little impact on glycaemic control 2","For procedures with no more than one missed meal 
AM Surgery: Take as usual. 55 
For procedures with more than one missed meal 
AM Surgery: Take as usual. 55 PM Surgery: Take as usual. 55",Should not be used in patients with bladder cancer
,Dipeptidylpeptidase inhibitors,Sitagliptin Saxagliptin,Oral,Risk of hypoglycaemia.,"For procedures with no more than one missed meal 
AM Surgery: Omit on day of surgery.55 
For procedures with more than one missed meal 
AM Surgery: Omit morning dose.55 PM Surgery: Omit morning dose. 55",
,GLP-1 Agonists,"Exenatide, Liraglutide"," 
SC","
Risk of hypoglycaemia.","For procedures with no more than one missed meal 
AM Surgery: Omit on day of surgery. 55 
For procedures with more than one missed meal 
AM Surgery: Omit on day of surgery. 55 PM Surgery: Omit on day of surgery. 55", 
,6.2.1 Thyroid Hormones,"
Levothyroxine Liothyronine",Oral,"Due to long half life of levothyroxine, a missed dose is unlikely to have a clinical effect. 2",Continue 2,
,6.2.2 Antithyroid drugs,"
Carbimazole Propylthiouracil 
",Oral,Risk of arrhythmias if discontinued,Continue,
,6.2 Corticosteroids,Prednisolone Dexamethasone Hydrocortisone Fludrocortisone,Oral / IV/ Inhaled,"Risk of Addisonian crisis if long term steroids stopped suddenly. 
Risk of deterioration of condition if steroids stopped.","See Appendix 1 
Patients on long term steroids must be given doses promptly. If steroid is not in stock, it must be obtained urgently.",Appendix 1 – Management of patients on long term corticosteroid treatment in the Perioperative period
,6.4.1.1 Oestrogens and Hormone Replacement Therapy (HRT),See current BNF,Oral Topical,"Risk of recurrence of menopausal symptoms if HRT stopped. 58 
Likely to increase risk of post 
operative VTE, but not well quantified 58 
VTE risk still increased up to 90 days post surgery 2 4","Minor surgery Continue HRT, thromboprophylaxis not necessary. 58 
Major surgery 
Continue HRT, but with thromboprophylaxis 58 
In major surgery with prolonged immobility, consider discontinuation 4 weeks prior to surgery. 2 4 
Stop raloxifene at least 1 week pre- operatively for moderate to major surgery 2",
,6.4.2 Male sex hormones and antagonists,"Testosterone Finasteride Dutasteride Cyproterone 
"," 
Oral / topical / IM","
Cyproterone may increase risk of thromboembolism","Continue 
Consider thromboprophylaxis for patients on cyproterone 59", 
,,Alendronate Risedronate Ibandronic Acid Strontium,Oral,"Must be given with glass of water 
Strontium associated with increased risk of VTE 62","May not be suitable for fasted patient on day of surgery due to volume of liquid required to take. 
Ensure adequate thromboprophylaxis used for patients on strontium. 62",Weekly bisphosphonate tablets may be taken one day before or one day after due date 60 61
,"7.3.1.Combined Oral Contraceptives 
(COCs)s)",Microgynon® Logynon® Marvelon® Cilest® Ovranette® Evra® patches NuvaRing®,Oral,"Estimated 3-4 fold increased risk of VTE perioperatively if continued.58 (risk same for newer COCs) 70 
Risk of unplanned pregnancy if stopped. 58","Major Surgery (and leg surgery), prolonged immobilisation, smoker, over 35 years of age. 117 
Consider risks and either continue, but 
with thromboprophylaxis or change to 
different form of contraception , either 
non-hormonal contraception or 
Progestogen only pill four weeks prior to 
surgery and for two weeks after surgery 58, 117 
Minor Surgery Consider thromboprophylaxis. 58",
,"7.3.2 Progestogen Only Contraceptives (POPs)","Cerazette® Femulen® Noriday® Micronor® Depo-provera® Injection Nexplanon® Intra-uterine system – Mirena®"," 
Oral",No evidence of increased VTE risk 58,No need to discontinue during surgery. 58, 
,7.4.1 Drugs for urinary retention,"
Alfuzosin Doxazosin Tamsulosin 
",Oral,"May cause Intra-operative floppy iris syndrome. 13 
Patients may be at risk of acute urinary retention if stopped.","Discontinue 1-2 weeks prior to cataract surgery. 13 
Continue in other types of surgery. 4 7 
Ensure dose is given on morning of surgery",See also section 2.5.4
,"7.4.2 Drugs for urinary frequency, enuresis and incontinence",Oxybutynin Solifenacin Tolterodine,Oral,"Contraindicated in paralytic ileus 
Contraindicated in patients with bladder outflow obstruction (may precipitate retention) 63 64 65","Continue, but use with caution in bowel surgery.",May contribute to post operative confusion and constipation
,8.1 Cytotoxic drugs,," 
Various 
 ", ,Patient specific," 
Contact oncology/ haematology for advice 
 "
,8.2.2 Immunosuppressants,Azathioprine Mycophenolate Tacrolimus Ciclosporin,Oral/IV,"May be used following organ transplantation, risk of rejection if doses missed. 
Risk of relapse in condition if doses omitted. 
Risk of more severe post op infections in immunosuppressed patients","Continue, ensure no doses missed. 
Use alternative formulations in patients who are nil by mouth 4 
Discuss withholding doses with prescribing consultant if severe post operative infection occurs.","Doses of alternative formulations may not be equivalent to oral dosing. 
Consult pharmacist for advice."
,8.2.3 Monoclonal Antibodies,Rituximab," 
IV","Risk of worsening of condition if doses missed. 
Patients may be more susceptible to infections or develop more severe infections. 67 68","Continue. 
Discontinue if serious post operative infection occurs. 68", 
,8.2.4 Other immunomodulating drugs,"Interferon Thalidomide Lenalidomide 
"," 
IV Oral","Risk of relapse in condition if doses omitted. 
Increased risk of VTE for patients on Lenalidomide or Thalidomide 69 70 71","Continue Ensure thromboprophylaxis used.", 
,8.3.4 Hormone antagonists,Anastrozole Letrozole Tamoxifen,Oral,Increased VTE risk. (40% of these cases occurred within 3 months of surgery or following immobility) 72,"Treatment for breast cancer - continue treatment (unless risk clearly outweighs risk of interrupting treatment) 
Patient should receive appropriate thromboprophylaxis measures. 2 72 
Treatment for anovulatory infertility - Stop tamoxifen 6 weeks before surgery or long term immobility and restart only when patient is fully mobile.",
,9.5.1 Calcium Supplements,Calcichew® Calcichew D3 Forte® Calfovit® Adcal D3®,"Oral 
 ","Some preparations dissolved in water 
Absorption may be delayed 
",, 
,9.5.2 Phosphate binding agents,Lanthanum Aluminium Sevelamer,Oral,Absorption may be delayed,Avoid if patient fasted,
,"10.1.3 Cytokine modulators",Adalimumab Etanercept Infliximab,IV / SC,"Risk of worsening of condition if doses missed. 
Patients may be more susceptible to infections or develop more severe infections. 78 79 80","Continue. 
Discontinue if serious post operative infection occurs. 78 79 80",
,10.1.4 Gout and cytotoxic induced hyperuricaemia,Allopurinol Febuxostat Probenecid," 
Oral 
 ","
Risk of recurrence of gout if omitted. 
",Continue.," 
Reduce Allopurinol dose or discontinue if post operative renal dysfunction occurs 
 "
,10.2.1 Drugs that enhance neuromuscular transmission,Pyridostigmine Neostigmine,"Oral 
 ","Pyridostigmine antagonises the effect of non-depolarising muscle relaxants (e.g. pancuronium and vecuronium). 81 
Pyridostigmine may prolong the effect of depolarising muscle relaxants (e.g. suxamethonium). 81 
Cessation may exacerbate symptoms of myasthenia gravis.","Be aware of interaction and avoid use of interacting drugs. 
If cessation of pyridostigmine is required miss one to two doses prior to surgery. (based on half life of 3-4 hours)", 
,10.2.2 Skeletal muscle relaxants,Baclofen Dantrolene Tizanidine,Oral,"Severe withdrawal effect when baclofen or tizanidine stopped abruptly. 82 83 
Baclofen may prolong effects of fentanyl anaesthesia 82 
Baclofen stimulates gastric acid secretion. 82 
Dantrolene may potentiate the effects of non-depolarising muscle relaxants. 84 Cessation of these medicines leaves patient without treatment for spasticity.",Continue,"Caution 
Some patients receive baclofen by intrathecal pump. Check prior to surgery."
